Country,y_1790,y_1800,y_1810,y_1820,y_1830,y_1840,y_1850,y_1860,y_1870,y_1880,y_1890,y_1900,y_1910,y_1920,y_1930,y_1940,y_1950,y_1960,y_1970,y_1980,y_1990,y_2000,y_2010
Alabama,1250,1250,9046,127901,309527,590756,771623,964201,996992,1262505,1513401,1828697,2138093,2348174,2646248,2832961,3061743,3266740,3444354,3894025,4040587,4447100,4779736
Alaska,33426,33426,33426,33426,33426,33426,33426,33426,33426,33426,32052,63592,64356,55036,59278,72524,128643,226167,302853,401851,550043,626932,710231
Arizona,9658,9658,9658,9658,9658,9658,9658,9658,9658,40440,88243,122931,204354,334162,435573,499261,749587,1302161,1775399,2716546,3665228,5130632,6392017
Arkansas,1062,1062,1062,14273,30388,97574,209897,435450,484471,802525,1128211,1311564,1574449,1752204,1854482,1949387,1909511,1786272,1923322,2286357,2350725,2673400,2915918
California,92597,92597,92597,92597,92597,92597,92597,379994,560247,864694,1213398,1485053,2377549,3426861,5677251,6907387,10586223,15717204,19971069,23667764,29760021,33871648,37253956
Colorado,34277,34277,34277,34277,34277,34277,34277,34277,39864,194327,413249,539700,799024,939629,1035791,1123296,1325089,1753947,2209596,2889735,3294394,4301261,5029196
Connecticut,237946,251002,261942,275248,297675,309978,370792,460147,537454,622700,746258,908420,1114756,1380631,1606903,1709242,2007280,2535234,3032217,3107564,3287116,3405565,3574097
Delaware,59093,64273,72674,72749,76748,78085,91532,112216,125015,146608,168493,184735,202322,223003,230380,266505,318085,446292,548104,594338,666168,783600,897934
Dist_of_Columbia,8144,8144,15471,23336,30261,33745,51687,75080,131700,177624,230392,278718,331069,437571,486869,663091,802178,763956,756668,638432,606900,572059,601723
Florida,34730,34730,34730,34730,34730,54477,87445,140424,187748,269493,391422,528542,752619,968470,1468211,1897414,2771305,4951560,6791418,9746961,12937926,15982378,18801310
Georgia,82548,162686,252433,340989,516823,691392,906185,1057286,1184109,1542180,1837353,2216331,2609121,2895832,2908506,3123723,3444578,3943116,4587930,5462982,6478216,8186453,9687653
Hawaii,154001,154001,154001,154001,154001,154001,154001,154001,154001,154001,154001,154001,191874,225881,368300,722770,499794,632772,769913,964691,1108229,1211537,1360301
Idaho,14999,14999,14999,14999,14999,14999,14999,14999,14999,32610,88548,161772,325594,431866,445032,524873,588637,667191,713015,944127,1006749,1293953,1567582
Illinois,12282,12282,12282,55211,157445,476183,851470,1711951,2539891,3077871,3286352,4821550,5638591,6485280,7630654,7897241,8712176,10081158,11110285,11427409,11430602,12419293,12830632
Indiana,5641,5641,24520,147718,343031,685866,988416,1350428,1680637,1978301,2192404,2516462,2700876,2930390,3238503,3427796,3934224,4662498,5195392,5490210,5544159,6080485,6483802
Iowa,43112,43112,43112,43112,43112,43112,192214,674913,1194020,1624615,1912297,2231853,2224771,2404021,2470939,2538268,2621073,2757537,2825368,2913808,2776831,2926324,3046355
Kansas,107206,107206,107206,107206,107206,107206,107206,107206,364399,996096,1428108,1470495,1690949,1769257,1880999,1801028,1905299,2178611,2249071,2364236,2477574,2688418,2853118
Kentucky,73677,220955,406511,564317,687917,779828,982405,1155684,1321011,1648690,1858635,2147174,2289905,2416630,2614589,2845627,2944806,3038156,3220711,3660324,3685296,4041769,4339367
Louisiana,76556,76556,76556,153407,215739,352411,517762,708002,726915,939946,1118588,1381625,1656388,1798509,2101593,2363880,2683516,3257022,3644637,4206116,4219973,4468976,4533372
Maine,96540,151719,228705,298335,399455,501793,583169,628279,626915,648936,661086,694466,742371,768014,797423,847226,913774,969265,993722,1125043,1227928,1274923,1328361
Maryland,319728,341548,380546,407350,447040,470019,583034,687049,780894,934943,1042390,1188044,1295346,1499661,1631526,1821244,2343001,3100689,3923897,4216933,4781468,5296486,5773552
Massachusetts,378787,422845,472040,523287,610408,737699,994514,1231066,1457351,1783085,2238947,2805346,3366416,3852356,4249614,4316721,4690514,5148578,5689170,5737093,6016425,6349097,6547629
Michigan,4762,4762,4762,8896,31639,212267,397654,749113,1184059,1636937,2093890,2420982,2810173,3668415,4842325,5256106,6371766,7823194,8881826,9262044,9295297,9938444,9883640
Minnesota,6077,6077,6077,6077,6077,6077,6077,172023,439706,780773,1310283,1751394,2075708,2387125,2563953,2792300,2982483,3413864,3806103,4075970,4375099,4919479,5303925
Mississippi,7600,7600,31306,75448,136621,375651,606526,791305,827922,1131597,1289600,1551270,1797114,1790618,2009821,2183796,2178914,2178141,2216994,2520770,2573216,2844658,2967297
Missouri,19783,19783,19783,66586,140455,383702,682044,1182012,1721295,2168380,2679185,3106665,3293335,3404055,3629367,3784664,3954653,4319813,4677623,4916766,5117073,5595211,5988927
Montana,20595,20595,20595,20595,20595,20595,20595,20595,20595,39159,142924,243329,376053,548889,537606,559456,591024,674767,694409,786690,799065,902195,989415
Nebraska,28841,28841,28841,28841,28841,28841,28841,28841,122993,452402,1062656,1066300,1192214,1296372,1377963,1315834,1325510,1411330,1485333,1569825,1578385,1711263,1826341
Nevada,6857,6857,6857,6857,6857,6857,6857,6857,42491,62266,47355,42335,81875,77407,91058,110247,160083,285278,488738,800508,1201833,1998257,2700551
New_Hampshire,141885,183858,214460,244161,269328,284574,317976,326073,318300,346991,376530,411588,430572,443083,465293,491524,533242,606921,737681,920610,1109252,1235786,1316470
New_Jersey,184139,211149,245562,277575,320823,373306,489555,672035,906096,1131116,1444933,1883669,2537167,3155900,4041334,4160165,4835329,6066782,7171112,7365011,7730188,8414350,8791894
New_Mexico,61547,61547,61547,61547,61547,61547,61547,61547,91874,119565,160282,195310,327301,360350,423317,531818,681187,951023,1017055,1303302,1515069,1819046,2059179
New_York,340120,589051,959049,1372812,1918608,2428921,3097394,3880735,4382759,5082871,6003174,7268894,9113614,10385227,12588066,13479142,14830192,16782304,18241391,17558165,17990455,18976457,19378102
North_Carolina,393751,478103,555500,638829,737987,753419,869039,992622,1071361,1399750,1617949,1896810,2206287,2559123,3170276,3571623,4061929,4556155,5084411,5880095,6628637,8049313,9535483
North_Dakota,2405,2405,2405,2405,2405,2405,2405,2405,2405,36909,190983,319146,577056,646872,680845,641935,619636,632446,617792,652717,638800,642200,672591
Ohio,45365,45365,230760,581434,937903,1519467,1980329,2339511,2665260,3198062,3672329,4157545,4767121,5759394,6646697,6907612,7946627,9706397,10657423,10797603,10847115,11353140,11536504
Oklahoma,258657,258657,258657,258657,258657,258657,258657,258657,258657,258657,258657,790391,1657155,2028283,2396040,2336434,2233351,2328284,2559463,3025487,3145585,3450654,3751351
Oregon,12093,12093,12093,12093,12093,12093,12093,52465,90923,174768,317704,413536,672765,783389,953786,1089684,1521341,1768687,2091533,2633156,2842321,3421399,3831074
Pennsylvania,434373,602365,810091,1049458,1348233,1724033,2311786,2906215,3521951,4282891,5258113,6302115,7665111,8720017,9631350,9900180,10498012,11319366,11800766,11864720,11881643,12281054,12702379
Rhode_Island,68825,69122,76931,83059,97199,108830,147545,174620,217353,276531,345506,428556,542610,604397,687497,713346,791896,859488,949723,947154,1003464,1048319,1052567
South_Carolina,249073,345591,415115,502741,581185,594398,668507,703708,705606,995577,1151149,1340316,1515400,1683724,1738765,1899804,2117027,2382594,2590713,3120729,3486703,4012012,4625364
South_Dakota,4837,4837,4837,4837,4837,4837,4837,4837,11776,98268,348600,401570,583888,636547,692849,642961,652740,680514,666257,690768,696004,754844,814180
Tennessee,35691,105602,261727,422823,681904,829210,1002717,1109801,1258520,1542359,1767518,2020616,2184789,2337885,2616556,2915841,3291718,3567089,3926018,4591023,4877185,5689283,6346105
Texas,212592,212592,212592,212592,212592,212592,212592,604215,818579,1591749,2235527,3048710,3896542,4663228,5824715,6414824,7711194,9579677,11198655,14255513,16986510,20851820,25145561
Utah,11380,11380,11380,11380,11380,11380,11380,40273,86786,143963,210779,276749,373351,449396,507847,550310,688862,890627,1059273,1461037,1722850,2233169,2763885
Vermont,85425,154465,217895,235981,280652,291948,314120,315098,330551,332286,332422,343641,355956,352428,359611,359231,377747,389881,444732,511456,562758,608827,625741
Virginia,691737,807557,877683,938261,1044054,1025227,1119349,1219630,1225163,1512565,1655980,1854184,2061612,2309187,2421851,2677773,3318680,3966949,4651448,5346797,6187358,7078515,8001024
Washington,1201,1201,1201,1201,1201,1201,1201,11594,23955,75116,357232,518103,1141990,1356621,1563396,1736191,2378963,2853214,3413244,4132353,4866692,5894121,6724540
West_Virginia,55873,78592,105469,136808,176924,224537,302313,376688,442014,618457,762794,958800,1221119,1463701,1729205,1901974,2005552,1860421,1744237,1950186,1793477,1808344,1852994
Wisconsin,30945,30945,30945,30945,30945,30945,305391,775881,1054670,1315497,1693330,2069042,2333860,2632067,2939006,3137587,3434575,3951777,4417821,4705642,4891769,5363675,5686986
Wyoming,9118,9118,9118,9118,9118,9118,9118,9118,9118,20789,62555,92631,145965,194402,225565,250742,290529,330066,332416,469557,453588,493782,563626
